"","id","word","n"
"344","131-4567","clinton",2
"345","131-459","fire",2
"346","131-4598","hear",2
"347","131-4599","hear",2
"348","131-460","fire",2
"349","131-4604","pour",2
"350","131-4612","jak",2
"351","131-4613","jak",2
"352","131-4649","die",2
"353","131-4649","ich",2
"354","131-4673","clinton",2
"355","131-471","fund",2
"356","131-4711","boys",2
"357","131-4720","sleazebag",2
"358","131-4727","opera",2
"359","131-4732","witch",2
"360","131-4735","youdontknowevangelicals",2
"361","131-4738","youdontknowevangelicals",2
"362","131-4760","clinton",2
"363","131-4766","white",2
"364","131-4767","white",2
"365","131-4776","women",2
"366","131-4841","music",2
"367","131-485","4",2
"368","131-4888","music",2
"369","131-4938","nelly",2
"370","131-4967","addiction",2
"371","131-5072","lot",2
"372","131-5075","lot",2
"373","131-5123","china",2
"374","131-5123","pakistan",2
"375","131-5136","backlash",2
"376","131-5137","backlash",2
"377","131-5138","backlash",2
"378","131-5139","backlash",2
"379","131-5140","backlash",2
"380","131-5170","anime",2
"381","131-5182","music",2
"382","131-5183","music",2
"383","131-519","music",2
"384","131-5212","aren",2
"385","131-5247","adults",2
"386","131-5285","investigation",2
"387","131-5312","jo",2
"388","131-5313","physician",2
"389","131-5314","physician",2
"390","131-5330","nowwhat",2
"391","131-5334","filipina",2
"392","131-5356","jo",2
"393","131-5371","china",2
"394","131-5371","pakistan",2
"395","131-5375","pound",2
"396","131-5393","fuck",2
"397","131-5393","shit",2
"398","131-5393","tf",2
"399","131-5394","fuck",2
"400","131-5394","shit",2
"401","131-5394","tf",2
"402","131-5412","nowwhat",2
"403","131-5413","nowwhat",2
"404","131-5440","beyonce",2
"405","131-5440","jay",2
"406","131-5468","stars",2
"407","131-5470","stars",2
"408","131-5471","stars",2
"409","131-5535","tu",2
"410","131-554","clinton",2
"411","131-5540","torah",2
"412","131-5546","clinton",2
"413","131-5547","clinton",2
"414","131-5548","clinton",2
"415","131-555","clinton",2
"416","131-556","clinton",2
"417","131-5563","clinton",2
"418","131-557","clinton",2
"419","131-5572","clinton",2
"420","131-558","clinton",2
"421","131-5588","clinton",2
"422","131-5589","clinton",2
"423","131-559","clinton",2
"424","131-5598","clinton",2
"425","131-5599","clinton",2
"426","131-560","clinton",2
"427","131-5600","twitter",2
"428","131-5601","twitter",2
"429","131-5602","clinton",2
"430","131-5603","clinton",2
"431","131-5608","wrote",2
"432","131-561","clinton",2
"433","131-562","clinton",2
"434","131-563","clinton",2
"435","131-5635","sen",2
"436","131-5636","sen",2
"437","131-5636","vi",2
"438","131-5637","ne",2
"439","131-5637","pas",2
"440","131-564","clinton",2
"441","131-5642","women",2
"442","131-565","clinton",2
"443","131-5675","su",2
"444","131-5676","su",2
"445","131-5703","women",2
"446","131-5708","torah",2
"447","131-5710","da",2
"448","131-5728","guests",2
"449","131-5729","guests",2
"450","131-5730","mcgowan's",2
"451","131-5730","rose",2
"452","131-5746","afghan",2
"453","131-5747","afghan",2
"454","131-5766","regular",2
"455","131-5793","dan",2
"456","131-5797","child",2
"457","131-5797","clinton",2
"458","131-5820","trump",2
"459","131-5821","trump",2
"460","131-5845","politics",2
"461","131-5848","politics",2
"462","131-5849","torah",2
"463","131-5892","wynn",2
"464","131-5964","als",2
"465","131-5964","je",2
"466","131-5964","vertrouwen",2
"467","131-597","double",2
"468","131-598","double",2
"469","131-599","double",2
"470","131-6034","clinton",2
"471","131-6035","clinton",2
"472","131-6036","clinton",2
"473","131-6037","test",2
"474","131-6038","test",2
"475","131-6050","female",2
"476","131-6050","victims",2
"477","131-6100","torah",2
"478","131-6140","torah",2
"479","131-6141","torah",2
"480","131-616","white",2
"481","131-6163","kfc",2
"482","131-6166","yeah",2
"483","131-6167","yeah",2
"484","131-6168","yeah",2
"485","131-6169","yeah",2
"486","131-6170","yeah",2
"487","131-621","pound",2
"488","131-621","sign",2
"489","131-622","pound",2
"490","131-622","sign",2
"491","131-623","clinton",2
"492","131-6407","words",2
"493","131-6482","disclose",2
"494","131-6483","disclose",2
"495","131-6497","tired",2
"496","131-6498","tired",2
"497","131-651","clinton",2
"498","131-6510","trump",2
"499","131-6535","clinton",2
"500","131-6554","120db",2
