"","id","tweet","date","origtweet"
"27","131-27","Who runs the world? Women of Color!::2018 is our year. We are evaporating the glass ceiling, speaking out truth,ï¿½",2018-01-27 04:24:00,"Who runs the world? Women of Color!
:
:
2018 is our year. We are evaporating the glass ceiling, speaking out truth,… https://t.co/3cKKpm8rfq"
"28","131-28","",2018-01-27 04:24:00,"RT @SelenaBrennan: #MeToo https://t.co/tLt5Q4eiUs"
"29","131-29","2 / As Rachael asks, What is a child worth? I hope we can agree the value of a child is far too high to be traï¿½",2018-01-27 04:25:00,"2 /    As Rachael asks, ""What is a child worth?"" I hope we can agree the value of a child is far too high to be tra… https://t.co/sOexMHgVkh"
"30","131-30","Will the #comejack address the movement?",2018-01-27 04:25:00,"@RaphaelBW Will the #comejack address the #metoo movement?"
"31","131-31","Outrageous!!!",2018-01-27 04:25:00,"RT @KimDotcom: Outrageous!!! #MeToo https://t.co/gr23U7jAzR"
"32","131-32","#churchtoo #SpiritualAbuse #YouDontKnowEvangelicals#IncredibleIndia #EmptyThePews--",2018-01-27 04:25:00,"RT @noconversion: #MeToo 
#churchtoo 
#SpiritualAbuse 
#YouDontKnowEvangelicals
#IncredibleIndia 
#EmptyThePews
--
https://t.co/OuOtVz16n8"
"33","131-33","The hero of the week is Judge Rosemarie Aquilina, who has allowed 140 women to give statements against Larryï¿½",2018-01-24 16:20:00,"The #MeToo hero of the week is Judge Rosemarie Aquilina, who has allowed 140 women to give statements against Larry… https://t.co/7YzNcmMA6w"
"34","131-34","The hero of the week is Judge Rosemarie Aquilina, who has allowed 140 women to give statements against Larry Nassar.ï¿½",2018-01-27 04:25:00,"RT @laurenduca: The #MeToo hero of the week is Judge Rosemarie Aquilina, who has allowed 140 women to give statements against Larry Nassar.…"
"35","131-35","Thankful for the leadership of my fellow in the movement! #USCMwinter18",2018-01-24 20:11:00,"Thankful for the leadership of my fellow @usmayors in the #metoo movement! #USCMwinter18 https://t.co/hzK7JtiJaE"
"36","131-36","Thankful for the leadership of my fellow in the movement! #USCMwinter18",2018-01-27 04:25:00,"RT @SteveBenjaminSC: Thankful for the leadership of my fellow @usmayors in the #metoo movement! #USCMwinter18 https://t.co/hzK7JtiJaE"
"37","131-37","Stay strong all that did was open a door for you to stand up for those affected by #SCStrong We know you. They don't.",2018-01-27 04:24:00,"Stay strong @nikkihaley all that did was open a door for you to stand up for those affected by #MeToo #SCStrong We know you. They don't."
"38","131-38","Thankful for the leadership of my fellow in the movement! #USCMwinter18",2018-01-27 04:25:00,"RT @SteveBenjaminSC: Thankful for the leadership of my fellow @usmayors in the #metoo movement! #USCMwinter18 https://t.co/hzK7JtiJaE"
"39","131-39","I understand the movement but it doesn't give women the right to complain 10 years later and destroy careers.",2018-01-27 04:25:00,"I understand the #MeToo movement but it doesn't give women the right to complain 10 years later and destroy careers."
"40","131-40","The Movement Shakes Up the World Economic Forum",2018-01-27 04:25:00,"The #MeToo Movement Shakes Up the World Economic Forum
https://t.co/tmaJtU6bDI"
"41","131-41","Do not tell me I will be okay until you have seen the monsters I battle every time the sun goes down",2018-01-27 04:25:00,"RT @Cool_rads: Do not tell me I will be okay until you have seen the monsters I battle every time the sun goes down??

#MeToo"
"42","131-42","#AM2DM #AMJoy #MorningJoe #timesup #BestFanArmy #FF #NP #NowPlaying #PMJoy #FriYay #FridayFeeling #SaturdayMorniï¿½",2018-01-27 04:25:00,"RT @RaulOrozco: #AM2DM #AMJoy #MorningJoe #MeToo #timesup #BestFanArmy #FF #NP   #NowPlaying #PMJoy  #FriYay #FridayFeeling 
#SaturdayMorni…"
"43","131-43","#AM2DM #AMJoy #MorningJoe #timesup #BestFanArmy #FF #NP #NowPlaying #PMJoy #FriYay #FridayFeeling #SaturdayMorniï¿½",2018-01-27 04:26:00,"RT @RaulOrozco: #AM2DM #AMJoy #MorningJoe #MeToo #timesup #BestFanArmy #FF #NP   #NowPlaying #PMJoy  #FriYay #FridayFeeling 
#SaturdayMorni…"
"44","131-44","Of course they doBut now women are more about destruction and chaos than wanting to be menï¿½s actual partï¿½",2018-01-27 04:26:00,"@arwenmh Of course they do

But now women are more about destruction and chaos than wanting to be men’s actual part… https://t.co/1cZLbD1Jsu"
"45","131-45","ï¿½In this age of reckoning with the violence of masculinity, I need to also reckon with the fact that Iï¿½ve haï¿½",2018-01-27 04:26:00,"‘In this #MeToo age of reckoning with the violence of masculinity, I need to also reckon with the fact that I’ve ha… https://t.co/WrLFVN7Kiz"
"46","131-46","3/4 Why isn't this trending? #SaintHillary #Hillary #ButShesNotEvenAFeminist",2018-01-26 21:02:00,"3/4 Why isn't this trending?  #SaintHillary #Hillary #ButShesNotEvenAFeminist  #MeToo https://t.co/3FVl24MA4e"
"47","131-47","3/4 Why isn't this trending? #SaintHillary #Hillary #ButShesNotEvenAFeminist",2018-01-27 04:26:00,"RT @PattiTweeting: 3/4 Why isn't this trending?  #SaintHillary #Hillary #ButShesNotEvenAFeminist  #MeToo https://t.co/3FVl24MA4e"
"48","131-48","Why Iï¿½m Struggling With the Movement",2018-01-27 04:26:00,"Why I’m Struggling With the #MeToo Movement https://t.co/a6a1FyOHo6"
"49","131-49","When the movement exploded in October and the film academy revoked Harvey Weinstein's membership, the spotlight turnedï¿½",2018-01-27 04:26:00,"RT @NBCNews: When the #MeToo movement exploded in October and the film academy revoked Harvey Weinstein's membership, the spotlight turned…"
"50","131-50","Of course sheï¿½s sick of the movement her wigs are probably speaking up about her abuse",2018-01-27 04:26:00,"RT @ira: Of course she’s sick of the #MeToo movement her wigs are probably speaking up about her abuse https://t.co/BhFoa0Nsl4"
"51","131-51","Even as a #smallbusiness, we believe in giving back. #sexualassault #community #vegan #veganbeautyï¿½",2018-01-27 03:52:00,"Even as a #smallbusiness, we believe in giving back.

#metoo #sexualassault #community #vegan #veganbeauty… https://t.co/az9CWbLHDd"
"52","131-52","Even as a #smallbusiness, we believe in giving back. #sexualassault #community #vegan #veganbeauty #veganskincareï¿½",2018-01-27 04:26:00,"RT @SniffyScents: Even as a #smallbusiness, we believe in giving back.

#metoo #sexualassault #community #vegan #veganbeauty #veganskincare…"
"53","131-53","ï¿½",2018-01-27 04:26:00,"@StepDaddyPumba @charlie1loves @You_Made_Me_Mad @rocksrolled @1nAmillionbabe @BaumZyklon @housewifeofhate… https://t.co/PrVBDGXnpe"
"54","131-54","#ActivistBitches Well this is awkward Hillary",2018-01-27 04:27:00,"RT @alaskantexanQCT: @AlexMohajer @HillaryClinton #ActivistBitches?? Well this is awkward Hillary.... #MeToo https://t.co/rXx2iqqd5b"
"55","131-55","#ActivistBitches Well this is awkward Hillary",2018-01-27 04:27:00,"RT @alaskantexanQCT: @AlexMohajer @HillaryClinton #ActivistBitches?? Well this is awkward Hillary.... #MeToo https://t.co/rXx2iqqd5b"
"56","131-56","#ActivistBitches Well this is awkward Hillary",2018-01-27 04:27:00,"RT @alaskantexanQCT: @AlexMohajer @HillaryClinton #ActivistBitches?? Well this is awkward Hillary.... #MeToo https://t.co/rXx2iqqd5b"
"57","131-57","When the movement exploded in October and the film academy revoked Harvey Weinstein's membership, the spotlight turnedï¿½",2018-01-27 04:27:00,"RT @NBCNews: When the #MeToo movement exploded in October and the film academy revoked Harvey Weinstein's membership, the spotlight turned…"
"58","131-58","Of course sheï¿½s sick of the movement her wigs are probably speaking up about her abuse",2018-01-27 04:27:00,"RT @ira: Of course she’s sick of the #MeToo movement her wigs are probably speaking up about her abuse https://t.co/BhFoa0Nsl4"
"59","131-59","Let's play Guess the multi billion dollar private company trying to cover up for a sexual predator. #TimesUp htï¿½",2018-01-27 04:27:00,"RT @doublebelle: Let's play ""Guess the multi billion dollar private company trying to cover up for a sexual predator."" 
#MeToo #TimesUp 
ht…"
"60","131-60","Hey I heard your speech at the World Economic Forum. You spoke about the movement and protecting womï¿½",2018-01-27 04:27:00,"RT @Imamofpeace: Hey @JustinTrudeau I heard your speech at the World Economic Forum. You spoke about the #metoo movement and protecting wom…"
"61","131-61","Hey I heard your speech at the World Economic Forum. You spoke about the movement and protecting womï¿½",2018-01-27 04:27:00,"RT @Imamofpeace: Hey @JustinTrudeau I heard your speech at the World Economic Forum. You spoke about the #metoo movement and protecting wom…"
"62","131-62","ï¿½",2018-01-27 04:27:00,"RT @chapin_jen: ????????????????????????????????????????????????????????????? #MeToo ??????????????????????????????????????????????????????…"
"63","131-63","Here it is!! Cuatro Babys (Remix) - I rewrote the lyrics + the chorus made it right for women worldwide. #TimesUp #Fï¿½",2018-01-27 04:27:00,"RT @vonstolk: Here it is!! Cuatro Babys (Remix) - I rewrote the lyrics + the chorus &amp; made it right for women worldwide. #TimesUp #MeToo #F…"
"64","131-64","Well, maybe, but with what we've learned from do you honesty believe #Melania is at fault?She's theï¿½",2018-01-27 04:27:00,"Well, maybe, but with what we've learned from #MeToo do you honesty believe #Melania is at fault?

She's the… https://t.co/0E6DInGFUV"
"65","131-65","Juanita Broaddrick, Paula Jones, Kathleen Wiley, Monica Lewinsky all deserved to be heard",2018-01-27 04:27:00,"RT @PragueArtist: Juanita Broaddrick, Paula Jones, Kathleen Wiley, Monica Lewinsky all deserved to be heard #MeToo https://t.co/rctQMWTEp5"
"66","131-66","Headline: Will RNC return Steve Wynn's donations after calling on DNC to return Harvey Weinstein's?Is every storyï¿½",2018-01-27 04:27:00,"Headline: Will RNC return Steve Wynn's donations after calling on DNC to return Harvey Weinstein's?
Is every story… https://t.co/3zjPDisIg5"
