"","topic","term","beta"
"229",1,"15",2.37136692175115e-274
"230",2,"15",0.00126427010803757
"231",3,"15",3.99112234471841e-274
"232",4,"15",3.61480150422264e-279
"233",5,"15",0.00272649029957793
"234",6,"15",6.93652749728685e-277
"235",1,"chivalry",3.72007597602084e-44
"236",2,"chivalry",3.72007597602084e-44
"237",3,"chivalry",0.00203527306203869
"238",4,"chivalry",3.72007597602084e-44
"239",5,"chivalry",3.72007597602084e-44
"240",6,"chivalry",7.80524907300001e-320
"241",1,"dems",1.98477463286961e-315
"242",2,"dems",4.89910186174881e-315
"243",3,"dems",0.00101763653101934
"244",4,"dems",1.96909416274767e-311
"245",5,"dems",6.86122807087267e-315
"246",6,"dems",5.65345484698055e-318
"247",1,"time",3.53983691521732e-57
"248",2,"time",0.0020728342091995
"249",3,"time",0.0013623209973449
"250",4,"time",0.000602747636472795
"251",5,"time",0.00555730935106138
"252",6,"time",1.66599673955923e-63
"253",1,"life",2.90594615844078e-297
"254",2,"life",1.17278753048369e-05
"255",3,"life",0.00439717162964858
"256",4,"life",2.07268143470681e-74
"257",5,"life",3.54973045773754e-291
"258",6,"life",1.27660143510367e-50
"259",1,"girls",5.38988045612782e-266
"260",2,"girls",2.23492476748569e-42
"261",3,"girls",7.56406084109685e-29
"262",4,"girls",0.0764970118383287
"263",5,"girls",1.17766590568801e-27
"264",6,"girls",4.25384191889898e-72
"265",1,"church",5.98498988296355e-281
"266",2,"church",0.000632135054018456
"267",3,"church",1.63295202567198e-245
"268",4,"church",1.27249068962586e-65
"269",5,"church",0.0023856790121312
"270",6,"church",2.18469476800957e-23
"271",1,"speak",0.00283004613624935
"272",2,"speak",0.00126427010803682
"273",3,"speak",1.26005310347495e-72
"274",4,"speak",0.00240520151084042
"275",5,"speak",5.11508830390612e-13
"276",6,"speak",0.000688792100509504
"277",1,"hands",0.000681149442408111
"278",2,"hands",0
"279",3,"hands",5.43472210425371e-323
"280",4,"hands",3.72007597602084e-44
"281",5,"hands",0
"282",6,"hands",2.5808548494771e-77
"283",1,"asm",2.14136263275739e-310
"284",2,"asm",6.787855450621e-313
"285",3,"asm",1.10365869092052e-309
"286",4,"asm",0.00113750203477069
"287",5,"asm",1.0063870010044e-302
"288",6,"asm",2.50152061909734e-315
"289",1,"ca",0.000681149442408126
"290",2,"ca",0.000316067527009056
"291",3,"ca",4.51214115832697e-279
"292",4,"ca",0.00113750203477089
"293",5,"ca",2.16832621039915e-273
"294",6,"ca",1.71860186356549e-282
"295",1,"democrat",0.00340574721204075
"296",2,"democrat",3.67538716705475e-298
"297",3,"democrat",5.74865189884697e-296
"298",4,"democrat",0.00113750203477053
"299",5,"democrat",7.17993800876664e-290
"300",6,"democrat",3.67740721870773e-299
"301",1,"ny",5.5617171973418e-315
"302",2,"ny",2.41134271988054e-317
"303",3,"ny",3.98431532664598e-317
"304",4,"ny",1.22967010462136e-318
"305",5,"ny",1.47195841514497e-317
"306",6,"ny",0.00123409323548564
"307",1,"footage",1.11419138011298e-288
"308",2,"footage",0.000948202581027785
"309",3,"footage",0.0027136974160517
"310",4,"footage",6.75714595084642e-294
"311",5,"footage",6.97757910344723e-289
"312",6,"footage",9.15396310776205e-59
"313",1,"privilege",5.42813325765518e-299
"314",2,"privilege",8.4517272339954e-306
"315",3,"privilege",0.000678424354012896
"316",4,"privilege",9.09474875036399e-309
"317",5,"privilege",1.05660843467252e-54
"318",6,"privilege",2.21690087413264e-308
"319",1,"ghazi",1.6297214220692e-313
"320",2,"ghazi",2.98077421026028e-312
"321",3,"ghazi",2.8008191838323e-312
"322",4,"ghazi",0.00113750203477069
"323",5,"ghazi",1.01500495962897e-312
"324",6,"ghazi",2.99578878244682e-316
"325",1,"2020",1.17587623710217e-321
"326",2,"2020",0.00126427010803719
"327",3,"2020",3.55727265005698e-322
"328",4,"2020",0
"329",5,"2020",2.34483555516256e-320
"330",6,"2020",0
"331",1,"global",1.67426769168578e-285
"332",2,"global",8.62130222214791e-286
"333",3,"global",3.7917206755937e-12
"334",4,"global",0.00312813059244063
"335",5,"global",1.57212147459352e-32
"336",6,"global",1.45655174675427e-55
"337",1,"georgia",0.00272459776963245
"338",2,"georgia",2.93402278123428e-311
"339",3,"georgia",8.63852644648565e-310
"340",4,"georgia",8.25740791315406e-314
"341",5,"georgia",3.90171263620278e-310
"342",6,"georgia",1.75122798419125e-59
