"","topic","term","beta"
"228",8,"lo",1.70806350093892e-67
"229",9,"lo",0.00443801762602919
"230",10,"lo",3.53360157790526e-50
"231",1,"las",7.02067018711336e-104
"232",2,"las",9.79304374021692e-70
"233",3,"las",2.06343171236993e-99
"234",4,"las",7.21909518435349e-92
"235",5,"las",6.65603769300865e-104
"236",6,"las",3.72007597602084e-44
"237",7,"las",7.66959296336049e-104
"238",8,"las",3.75386760017959e-92
"239",9,"las",0.00851620906070123
"240",10,"las",6.19029572929899e-100
"241",1,"dat",4.80795065974808e-104
"242",2,"dat",1.53202956618027e-103
"243",3,"dat",3.08912328178967e-104
"244",4,"dat",2.31411691233245e-68
"245",5,"dat",1.38874361516995e-93
"246",6,"dat",5.04330282014124e-104
"247",7,"dat",5.25235104598041e-104
"248",8,"dat",5.955076416272e-104
"249",9,"dat",0.000599733032443749
"250",10,"dat",6.79315329277655e-104
"251",1,"1st",4.63169864391523e-61
"252",2,"1st",6.96603647626191e-87
"253",3,"1st",6.15817338112769e-73
"254",4,"1st",4.96130072579337e-14
"255",5,"1st",3.25005011924832e-70
"256",6,"1st",7.66545903334418e-104
"257",7,"1st",0.00619937124206774
"258",8,"1st",2.50626664170093e-79
"259",9,"1st",1.75605322382438e-126
"260",10,"1st",2.71041607620614e-79
"261",1,"yrs",5.41718530509214e-79
"262",2,"yrs",2.55691236910625e-67
"263",3,"yrs",2.64351041510594e-49
"264",4,"yrs",9.42887120642287e-16
"265",5,"yrs",1.57324291683397e-67
"266",6,"yrs",1.63831815183673e-67
"267",7,"yrs",0.00403679987857769
"268",8,"yrs",4.10198479776044e-15
"269",9,"yrs",3.45845952088873e-323
"270",10,"yrs",1.34193734739365e-67
"271",1,"sex",0.00386844255049631
"272",2,"sex",1.08819020339679e-12
"273",3,"sex",0.0113305840911531
"274",4,"sex",0.000719206150472542
"275",5,"sex",1.5956280765659e-05
"276",6,"sex",2.0977191246116e-31
"277",7,"sex",1.23122331670865e-35
"278",8,"sex",1.40289855475737e-08
"279",9,"sex",5.21484552175776e-195
"280",10,"sex",1.39414970347866e-66
"281",1,"des",1.18167088703683e-67
"282",2,"des",1.88474818304498e-67
"283",3,"des",6.02178785080447e-122
"284",4,"des",0.000348410443902184
"285",5,"des",1.15966697509186e-67
"286",6,"des",3.72007597602084e-44
"287",7,"des",3.72007597602084e-44
"288",8,"des",3.91503332966214e-79
"289",9,"des",0.00164957199422043
"290",10,"des",0.00216305577856287
"291",1,"vote",0.000588685616325582
"292",2,"vote",1.61488981202683e-61
"293",3,"vote",2.1098386288833e-47
"294",4,"vote",1.99062486221293e-62
"295",5,"vote",0.000478623239245867
"296",6,"vote",6.06184998463067e-86
"297",7,"vote",0.00150262602533149
"298",8,"vote",2.98372934324613e-29
"299",9,"vote",1.22919261569188e-55
"300",10,"vote",7.38278317746855e-50
"301",1,"por",4.65641363209819e-104
"302",2,"por",0.00036731546667907
"303",3,"por",1.42079788045775e-110
"304",4,"por",9.3592140458126e-61
"305",5,"por",3.13547875752482e-55
"306",6,"por",3.39446151657616e-307
"307",7,"por",6.56189056976779e-89
"308",8,"por",5.42581424619547e-144
"309",9,"por",0.0100689109185508
"310",10,"por",6.36047288527518e-96
"311",1,"du",1.26821981965278e-11
"312",2,"du",1.16475292472389e-55
"313",3,"du",8.44796228408994e-56
"314",4,"du",0.000792982788669695
"315",5,"du",3.08368382249707e-67
"316",6,"du",0.000834405868904488
"317",7,"du",3.2619856516884e-67
"318",8,"du",3.43372806101918e-67
"319",9,"du",0.000600960091371674
"320",10,"du",0.000850950890004318
"321",1,"withyou",6.47461236606957e-41
"322",2,"withyou",7.42818584707922e-98
"323",3,"withyou",2.4373763569649e-50
"324",4,"withyou",6.73974762371939e-52
"325",5,"withyou",2.598878742927e-262
"326",6,"withyou",1.63284289036613e-63
"327",7,"withyou",2.01600523298353e-62
"328",8,"withyou",6.9503770987382e-112
"329",9,"withyou",6.13221094874178e-99
"330",10,"withyou",0.0528335624399665
"331",1,"movement",0.0286061375949122
"332",2,"movement",3.47090001743522e-21
"333",3,"movement",0.0263166110970058
"334",4,"movement",0.00959130820768703
"335",5,"movement",0.0197742906498028
"336",6,"movement",4.79046184563182e-14
"337",7,"movement",0.0456148421947094
"338",8,"movement",4.19176869381076e-19
"339",9,"movement",1.1488700654206e-53
"340",10,"movement",0.0138438830866081
"341",1,"fight",0.000614490121899935
"342",2,"fight",0.0021708947837953
"343",3,"fight",3.4943665865458e-17
"344",4,"fight",3.72007597602084e-44
"345",5,"fight",2.67453651449367e-17
"346",6,"fight",0.00078806440769243
"347",7,"fight",7.83548812440132e-85
"348",8,"fight",8.58695622928456e-31
"349",9,"fight",3.72007597602084e-44
"350",10,"fight",1.21677070356975e-37
"351",1,"le",1.8291928592242e-69
"352",2,"le",3.07815047602947e-16
"353",3,"le",9.70421795028692e-42
"354",4,"le",4.79727451339483e-65
"355",5,"le",1.18341238029913e-55
"356",6,"le",0.0012591365530093
"357",7,"le",6.26479591755411e-28
"358",8,"le",9.88131291682493e-324
"359",9,"le",0.00224527577626752
"360",10,"le",0.00842288961498398
"361",1,"han",8.42132245302082e-117
"362",2,"han",4.2084410844623e-200
"363",3,"han",2.00827450725905e-91
"364",4,"han",2.25811044812486e-51
"365",5,"han",1.01557344406964e-79
"366",6,"han",0.000143054350758175
"367",7,"han",1.10502037345728e-79
"368",8,"han",1.19292813394992e-79
"369",9,"han",0.00155930588435426
"370",10,"han",1.29009879289843e-79
"371",1,"em",1.1116771366669e-66
