tweet,date,text
56,2/26/18 20:12,RT @therealrhysmwyn: 'Fideo' gan PMT (Pryd Ma Te) am gael ei chwarae ar y sioe heno #MeToo @BBCRadioCymru https://t.co/1FWEGPWwnh
57,2/26/18 20:12,"RT @OnePunchiMickey: ""___""___ __ ___ __ ___ __ ___ ____. #Metoo __ ___ __. #___+#___(=____) ___ ___ ____.___ ___ _____ ____. ___ _ _ __ _…"
58,2/26/18 20:12,@chanelefi #MeToo #MeTwo
59,2/26/18 20:12,#MeToo https://t.co/uFkK4bExLH
60,2/26/18 20:13,"Meet the badass Afghan woman who has resolved 50 cases of abuse against women, and helped detain 21 men accused of violence against women in just one year. #Afghanistan #law #MeToo #TimesUp https://t.co/t48zCJeTq9"
61,2/26/18 20:13,"RT @BBCWomansHour: Where has #metoo left the art of seduction? @AgnesCPoirier offers a French perspective, on this month's LNWH with @laure…"
62,2/26/18 17:05,"Where has #metoo left the art of seduction? @AgnesCPoirier offers a French perspective, on this month's LNWH with @laurenlaverne @BBCWomansHour  https://t.co/TxtdCkkW5A https://t.co/qN3Ixnl4TO"
63,2/26/18 20:13,"RT @BBCWomansHour: Where has #metoo left the art of seduction? @AgnesCPoirier offers a French perspective, on this month's LNWH with @laure…"
64,2/26/18 15:00,"#deleteuber #DeleteUber #MeToo #Metoomovement #metoo #MeTooUber @loosewomen @WomensHealthMag @WomAgainstUber @womensmarch @UN_Women @WEP_UK @womenshealth @BBCWomansHour @WOMAN @TheSingleWoman @WomansDay #WomensSixNations #womaninbiz https://t.co/Fxkk3sr3JA"
65,2/26/18 20:13,"RT @BBCWomansHour: Where has #metoo left the art of seduction? @AgnesCPoirier offers a French perspective, on this month's LNWH with @laure…"
66,2/26/18 20:13,"@jaketapper Hey Jake, with Monica Lewinski releasing statements about the #MeToo movement &amp; Pres. Clinton, I’m sure you’ll reach out to ask her about it. Since it isn’t inappropriate to ask a daughter about these issues, I’m sure you’ll press her on other allegations too, right? Jake? Jake?"
67,2/26/18 20:13,@NlvdP #metoo __
68,2/26/18 20:13,"There are times when shit happens. And then there’s when excellent shit happens. #MeToo #TimesUphttps://t.co/MPB3kJzBsA"
69,2/26/18 14:15,"Writers respond to the #MeToo movement. Our #PENtownhall featuring @collier, @rebel19, @mashagessen, @wesyang, @Egangoonsquad, &amp; @SuzanneNossel. 2/28. https://t.co/8Z4nSAja3s"
70,2/26/18 20:13,"RT @PENamerican: Writers respond to the #MeToo movement. Our #PENtownhall featuring @collier, @rebel19, @mashagessen, @wesyang, @Egangoonsq…"
71,2/26/18 14:15,"Writers respond to the #MeToo movement. Our #PENtownhall featuring @collier, @rebel19, @mashagessen, @wesyang, @Egangoonsquad, &amp; @SuzanneNossel. 2/28. https://t.co/8Z4nSAja3s"
72,2/26/18 20:13,"RT @PENamerican: Writers respond to the #MeToo movement. Our #PENtownhall featuring @collier, @rebel19, @mashagessen, @wesyang, @Egangoonsq…"
73,2/26/18 14:15,"Writers respond to the #MeToo movement. Our #PENtownhall featuring @collier, @rebel19, @mashagessen, @wesyang, @Egangoonsquad, &amp; @SuzanneNossel. 2/28. https://t.co/8Z4nSAja3s"
74,2/26/18 20:13,"RT @PENamerican: Writers respond to the #MeToo movement. Our #PENtownhall featuring @collier, @rebel19, @mashagessen, @wesyang, @Egangoonsq…"
75,2/26/18 14:15,"Writers respond to the #MeToo movement. Our #PENtownhall featuring @collier, @rebel19, @mashagessen, @wesyang, @Egangoonsquad, &amp; @SuzanneNossel. 2/28. https://t.co/8Z4nSAja3s"
76,2/26/18 20:13,"RT @PENamerican: Writers respond to the #MeToo movement. Our #PENtownhall featuring @collier, @rebel19, @mashagessen, @wesyang, @Egangoonsq…"
77,2/26/18 20:13,"RT @PENamerican: Writers respond to the #MeToo movement. Our #PENtownhall featuring @collier, @rebel19, @mashagessen, @wesyang, @Egangoonsq…"
78,2/26/18 20:13,#ResistanceMovement #Parkland #EmptyThePews #TakeAKnee #unhackthevote #MarchForOurLives #EmmaforChange #MAGA #Trump2020 #Republicans #GOPTaxScam #GOP #BlackLivesMatter #MeToo #LGBTQIA #WomensMarch #DACA #DACADreamers #VoteThemAllOut #Vote100
79,2/26/18 20:13,The latest The John Hubbard Daily! https://t.co/Gf9irbwqdD #metoo
80,2/26/18 20:13,"Monica Lewinsky is back!!! She identifies herself as part of #MeToo and a victim of “abuse of power” in a consensual sexual relationship. She was recently diagnosed as suffering from PTSD. I would love to know what Hillary Clinton has to say about this, but  I can probably guess."
81,2/26/18 20:13,"RT @kimminseoyoung: ___ #MeToo _ __ 2016_ [_______ _ ___ ___]_ ____, __ _ ___ ____ __ _ __ __ '____ _'_ _ __ _____ ____ ___. _ ____ ____ __…"
82,2/26/18 20:13,"On est d'accord que le début de #ForrestGump serait un scandale aujourd'hui feat manspreading et harcèlement de rue ? __#BalanceTonPorc #Metoo"
83,2/26/18 20:13,"""We watched the wholesale dissection of a young, unknown woman—me—who, due to legal quarantine, was unable to speak out on her own behalf.""totally #MeToo https://t.co/kBh37IQVOQ"
84,2/26/18 20:13,Monica Lewinsky says #MeToo movement changed her view of Bill Clinton affair https://t.co/h6aLy1h32f
85,2/26/18 19:23,"Red Sparrow' a sadistic, gratuitous movie somehow made in the #metoo era https://t.co/qYxeEKz1Bt @TB_Times"
86,2/26/18 20:13,"RT @TB_Times: 'Red Sparrow' a sadistic, gratuitous movie somehow made in the #metoo era https://t.co/qYxeEKz1Bt @TB_Times"
87,2/26/18 20:13,"Trump not only admitted to being a predator and told people to ""Grab em by the p*ssy,"" but bragged about getting away with peeing at naked children at Miss Teen USA. People need to open their eyes--and stop enabling sexual assault.#metoo #resist #trump"
88,2/26/18 20:13,"Using #metoo to speak for another woman, especially when it’s motivated by anger is worse than low.  It’s disgusting."
89,2/26/18 20:13,"RT @luvyujoo: _ ___ ____ ___ ___ ___ #MeToo ___ ___ ___ ____ __ __ __. ___ _ __ ___ ____ “me too” __ ____, ___ __ __ __ ___ ____ “me too” _…"
90,2/26/18 20:13,"RT @sydbrownstone: Seattle people: Don't click on the reactionary hot takes about consent and #MeToo. Instead, come have a drink with me, @…"
91,2/26/18 20:13,Denn es betrifft uns alle! #metoo #120dB https://t.co/rWSTkCvhH9
92,2/26/18 20:14,"El trend #YoNoDenuncio impulsa a víctimas de abuso sexual a hablar de su situación.#MeToo #Abusohttps://t.co/mAufalJJbL https://t.co/bvhhiZ4pD0"
93,2/26/18 20:14,Boston Herald Editorial: #MeToo overreach #mapoli https://t.co/TQXcGlLfy2
94,2/26/18 20:14,@Missi_Carter @karaaley @sfpelosi @CherylAoife @CallMcclintock @AMYCHAMP @SierraResistor @dadkind @pfluegers @JuliaSween @CA_Dem @Morse4America @LaMillsGarrett @Michlbilodeau #MeToo
