"","id","tweet","date","origtweet"
"17","226-17","Ach sieh mal einer an: Bei meiner Recherche zum #Kinderkanal und der Veruntreuung von GebÔøΩhren sowie #metoo-Problemen stÔøΩÔøΩt man auf Korruption und krumme GeschÔøΩfte beim  Man muss diesen Sumpf endlich trocken legen. #MDR NKep3gM4iV",2018-02-26 11:29:00,"Ach sieh mal einer an: Bei meiner Recherche zum #Kinderkanal und der Veruntreuung von GebÅhren sowie #metoo-Problemen stî·t man auf ""Korruption und krumme GeschÑfte"" beim @MDR. Man muss diesen Sumpf endlich trocken legen. #MDR https://t.co/NKep3gM4iV"
"18","226-18","#deleteuber #DeleteUber #MeToo #Metoomovement #metoo #MeTooUber #WomensSixNations #womaninbiz Fxkk3sr3JA",2018-02-26 15:00:00,"#deleteuber #DeleteUber #MeToo #Metoomovement #metoo #MeTooUber 
@loosewomen @WomensHealthMag @WomAgainstUber @womensmarch @UN_Women @WEP_UK @womenshealth @BBCWomansHour @WOMAN @TheSingleWoman @WomansDay #WomensSixNations #womaninbiz https://t.co/Fxkk3sr3JA"
"19","226-19","#deleteuber #DeleteUber #MeToo #Metoomovement #metoo #MeTooUber #WomensSixNations #womaninbiz Fxkk3sr3JA",2018-02-26 15:00:00,"#deleteuber #DeleteUber #MeToo #Metoomovement #metoo #MeTooUber 
@loosewomen @WomensHealthMag @WomAgainstUber @womensmarch @UN_Women @WEP_UK @womenshealth @BBCWomansHour @WOMAN @TheSingleWoman @WomansDay #WomensSixNations #womaninbiz https://t.co/Fxkk3sr3JA"
"20","226-20","#deleteuber #DeleteUber #MeToo #Metoomovement #metoo #MeTooUber #WomensSixNations #womaninbiz Fxkk3sr3JA",2018-02-26 15:00:00,"#deleteuber #DeleteUber #MeToo #Metoomovement #metoo #MeTooUber 
@loosewomen @WomensHealthMag @WomAgainstUber @womensmarch @UN_Women @WEP_UK @womenshealth @BBCWomansHour @WOMAN @TheSingleWoman @WomansDay #WomensSixNations #womaninbiz https://t.co/Fxkk3sr3JA"
"21","226-21","#deleteuber #DeleteUber #MeToo #Metoomovement #metoo #MeTooUber #WomensSixNations #womaninbiz Fxkk3sr3JA",2018-02-26 15:00:00,"#deleteuber #DeleteUber #MeToo #Metoomovement #metoo #MeTooUber 
@loosewomen @WomensHealthMag @WomAgainstUber @womensmarch @UN_Women @WEP_UK @womenshealth @BBCWomansHour @WOMAN @TheSingleWoman @WomansDay #WomensSixNations #womaninbiz https://t.co/Fxkk3sr3JA"
"22","226-22","#deleteuber #DeleteUber #MeToo #Metoomovement #metoo #MeTooUber #WomensSixNations #womaninbiz Fxkk3sr3JA",2018-02-26 15:00:00,"#deleteuber #DeleteUber #MeToo #Metoomovement #metoo #MeTooUber 
@loosewomen @WomensHealthMag @WomAgainstUber @womensmarch @UN_Women @WEP_UK @womenshealth @BBCWomansHour @WOMAN @TheSingleWoman @WomansDay #WomensSixNations #womaninbiz https://t.co/Fxkk3sr3JA"
"23","226-23","Does #MeToo change #Japan?#MeToo ?      CQ8LINiN60",2018-01-08 02:05:00,"Does #MeToo change #Japan?
#MeToo ? #?? ?????????????????????? #?????#??????#?????#??? ????????????????????????????????? #???? ????????????????@ouenshiori
https://t.co/CQ8LINiN60"
"24","226-24","2 women who refuse to become  #Victims of any kind! #MeToo #NRA #2A #StudentsStandUp but these women stood up so they wouldn't be victims. #CloserNation #GunFreeZonesKill #Parkland #ParklandStudentsSpeak #ParklandShooting #FloridaSchoolShooti",2018-02-25 13:43:00,"@TwitchyTeam 2 women who refuse to become  #Victims of any kind! #MeToo #NRA #2A #StudentsStandUp but these women stood up so they wouldn't be victims. #CloserNation #GunFreeZonesKill #Parkland #ParklandStudentsSpeak #ParklandShooting #FloridaSchoolShooti"
"25","226-25","DrÔøΩle de monde #MeToo ou #BalanceTonPorc dans lequel une cagnotte pour un prÔøΩsumÔøΩ multi-violeur atteint des sommets alors que les nombreuses victimes prÔøΩsumÔøΩes restent seules #Ramadan #FreeRaif 5plxWFd7Q8",2018-02-25 10:37:00,"Drìle de monde #MeToo ou #BalanceTonPorc dans lequel une cagnotte pour un prÇsumÇ multi-violeur atteint des sommets alors que les nombreuses victimes prÇsumÇes restent seules... #Ramadan @Henda_Ayari @JSuisChristelle #FreeRaif https://t.co/5plxWFd7Q8"
"26","226-26","DrÔøΩle de monde #MeToo ou #BalanceTonPorc dans lequel une cagnotte pour un prÔøΩsumÔøΩ multi-violeur atteint des sommets alors que les nombreuses victimes prÔøΩsumÔøΩes restent seules #Ramadan #FreeRaif 5plxWFd7Q8",2018-02-25 10:37:00,"Drìle de monde #MeToo ou #BalanceTonPorc dans lequel une cagnotte pour un prÇsumÇ multi-violeur atteint des sommets alors que les nombreuses victimes prÇsumÇes restent seules... #Ramadan @Henda_Ayari @JSuisChristelle #FreeRaif https://t.co/5plxWFd7Q8"
