,,Visual Properties,,,,,Labels,,,Graph Metrics,Do Not Edit,,Other Columns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertex 1,Vertex 2,Color,Width,Style,Opacity,Visibility,Label,Label Text Color,Label Font Size,Reciprocated?,ID,Dynamic Filter,Add Your Own Columns Here,Relationship,Relationship Date (UTC),Tweet,URLs in Tweet,Domains in Tweet,Hashtags in Tweet,Media in Tweet,Tweet Image File,Tweet Date (UTC),Twitter Page for Tweet,Latitude,Longitude,Imported ID,In-Reply-To Tweet ID,Favorited,Favorite Count,In-Reply-To User ID,Is Quote Status,Language,Possibly Sensitive,Quoted Status ID,Retweeted,Retweet Count,Retweet ID,Source,Truncated,Unified Twitter ID,Imported Tweet Type,Added By Extended Analysis,Corrected By Extended Analysis,Place Bounding Box,Place Country,Place Country Code,Place Full Name,Place ID,Place Name,Place Type,Place URL
faislaaapkaa,aaj_urdu,,,,,,,,,,,,,Mentions,3/8/18 15:50,"When Indian media took up my story PTV's administration issued a letter that I am defaming Pakistan: Tanzila, a victim of harassment at PTV channel #MeToo #InternationalWomensDay @asmashirazi @aaj_urdu #FaislaAapKa https://t.co/GMC2NE1FIR",,,metoo internationalwomensday faislaaapka,https://pbs.twimg.com/ext_tw_video_thumb/971775007612395520/pu/img/qAptMw3YOKgm1laq.jpg,https://pbs.twimg.com/ext_tw_video_thumb/971775007612395520/pu/img/qAptMw3YOKgm1laq.jpg,3/8/18 15:50,https://twitter.com/#!/faislaaapkaa/status/971775165787987970,,,971775165787987970,,FALSE,24,,FALSE,en,,,FALSE,6,,Twitter Web Client,FALSE,971775165787987970,Retweet,0,0,,,,,,,,
faislaaapkaa,asmashirazi,,,,,,,,,,,,,Mentions,3/8/18 15:50,"When Indian media took up my story PTV's administration issued a letter that I am defaming Pakistan: Tanzila, a victim of harassment at PTV channel #MeToo #InternationalWomensDay @asmashirazi @aaj_urdu #FaislaAapKa https://t.co/GMC2NE1FIR",,,metoo internationalwomensday faislaaapka,https://pbs.twimg.com/ext_tw_video_thumb/971775007612395520/pu/img/qAptMw3YOKgm1laq.jpg,https://pbs.twimg.com/ext_tw_video_thumb/971775007612395520/pu/img/qAptMw3YOKgm1laq.jpg,3/8/18 15:50,https://twitter.com/#!/faislaaapkaa/status/971775165787987970,,,971775165787987970,,FALSE,24,,FALSE,en,,,FALSE,6,,Twitter Web Client,FALSE,971775165787987970,Retweet,0,0,,,,,,,,
sarahgradenpa,leanne4pa,,,,,,,,,,,,,Mentions,3/8/18 13:11,"Rep. Leanne Krueger-Braneky is fighting for #MeToo legislation #HB1965 to combat sexual harassment in the PA Capitol, where women hold only 17.8% of General Assembly seats and 0% of elected statewide positions. Support Woman's Day, support @leanne4pa #InternationalWomensDay",,,metoo hb1965 internationalwomensday,,http://pbs.twimg.com/profile_images/964683465437384704/bzGQOHKL_normal.jpg,3/8/18 13:11,https://twitter.com/#!/sarahgradenpa/status/971735195954155520,,,971735195954155520,,FALSE,11,,FALSE,en,,,FALSE,4,,Twitter for iPhone,FALSE,971735195954155520,Retweet,0,0,,,,,,,,
douglasjekan,thebeat999fm,,,,,,,,,,,,,Mentions,3/8/18 19:01,"To celebrate International Women’s Day I will be discussing with these lovely ladies @DamiKhadijah @NkemOnwudiwe &amp; @AramideMusic about #metoo #TimesUp &amp; women empowerment &amp; equality and how music &amp; media can play a role in shaping the narrative. Time is 9.30pm on @THEBEAT999FM https://t.co/8AJYvqQfSo",,,metoo timesup,https://pbs.twimg.com/media/DXycF5OXcAAMvJd.jpg,https://pbs.twimg.com/media/DXycF5OXcAAMvJd.jpg,3/8/18 19:01,https://twitter.com/#!/douglasjekan/status/971823283917254658,,,971823283917254658,,FALSE,10,,FALSE,en,,,FALSE,6,,Twitter for iPhone,FALSE,971823283917254658,Retweet,0,0,,,,,,,,
douglasjekan,aramidemusic,,,,,,,,,,,,,Mentions,3/8/18 19:01,"To celebrate International Women’s Day I will be discussing with these lovely ladies @DamiKhadijah @NkemOnwudiwe &amp; @AramideMusic about #metoo #TimesUp &amp; women empowerment &amp; equality and how music &amp; media can play a role in shaping the narrative. Time is 9.30pm on @THEBEAT999FM https://t.co/8AJYvqQfSo",,,metoo timesup,https://pbs.twimg.com/media/DXycF5OXcAAMvJd.jpg,https://pbs.twimg.com/media/DXycF5OXcAAMvJd.jpg,3/8/18 19:01,https://twitter.com/#!/douglasjekan/status/971823283917254658,,,971823283917254658,,FALSE,10,,FALSE,en,,,FALSE,6,,Twitter for iPhone,FALSE,971823283917254658,Retweet,0,0,,,,,,,,
abcthedrum,francescadonner,,,,,,,,,,,,,Mentions,3/8/18 06:46,"“Sometimes the women don't even realise that the line has been crossed because many women are so used to these behaviours or comments &amp; just say, 'This is just the way things are'"" @FrancescaDonner #MeToo #TheDrum https://t.co/vxAnBbrXpI",,,metoo thedrum,https://pbs.twimg.com/media/DXvztiyU8AAANcN.jpg,https://pbs.twimg.com/media/DXvztiyU8AAANcN.jpg,3/8/18 06:46,https://twitter.com/#!/abcthedrum/status/971638318982053888,,,971638318982053888,,FALSE,10,,FALSE,en,,,FALSE,4,,Twitter Web Client,FALSE,971638318982053888,Retweet,0,0,,,,,,,,
chabrierm,alancelin,,,,,,,,,,,,,Mentions,3/8/18 21:35,"__  Il a fallu attendre le #8Mars 2018 pour avoir un débat argumenté, calme et pédagogique sur les hashtags : #MeToo  et #BalanceTonPorc dans la société.Un grand merci à @LeMediaTV  pour cette émission qu'est #VraimentPolitique !Cc @alancelin",,,8mars metoo balancetonporc vraimentpolitique,,http://pbs.twimg.com/profile_images/956206418281091072/sefaxSOX_normal.jpg,3/8/18 21:35,https://twitter.com/#!/chabrierm/status/971862101638737922,,,971862101638737922,,FALSE,29,,FALSE,fr,,,FALSE,14,,Twitter Web Client,FALSE,971862101638737922,Retweet,0,0,,,,,,,,
drrjkavanagh,theroot,,,,,,,,,,,,,Mentions,3/8/18 04:25,"If there is anything we have learned from #MeToo, it is that survivors of sexual violence often don't report their attacks until years later. Statutes of limitations for rape &amp; sexual assault laws should be extended to reflect this reality. https://t.co/0Q5kTjulqe via @TheRoot",https://thegrapevine.theroot.com/the-absence-of-a-criminal-case-doesn-t-mean-adam-venit-1823597465?utm_medium=sharefromsite&utm_source=The_Grapevine_twitter,theroot.com,metoo,,http://pbs.twimg.com/profile_images/907592951995486208/1egK6u71_normal.jpg,3/8/18 04:25,https://twitter.com/#!/drrjkavanagh/status/971602758930452480,,,971602758930452480,,FALSE,10,,FALSE,en,,,FALSE,4,,Twitter Web Client,FALSE,971602758930452480,Retweet,0,0,,,,,,,,
gerryrogersmha,sjsowc,,,,,,,,,,,,,Mentions,3/8/18 15:42,"PSAC #IWD2018 luncheon. Allison Doyle updates on what has changed in a year. Still no universal childcare, no Pay Equity #metoo uncovers the persistent problem of male violence against women @SJSOWC #donewaiting Today we celebrate our strength and resilience https://t.co/yZRlq05JKy",,,iwd2018 metoo donewaiting,https://pbs.twimg.com/media/DXxug25XcAICV_U.jpg,https://pbs.twimg.com/media/DXxug25XcAICV_U.jpg,3/8/18 15:42,https://twitter.com/#!/gerryrogersmha/status/971773132200644608,,,971773132200644608,,FALSE,22,,FALSE,en,,,FALSE,8,,Twitter for iPhone,FALSE,971773132200644608,Retweet,0,0,,,,,,,,
cfnupresident,globalnursesu,,,,,,,,,,,,,Mentions,3/8/18 18:05,"This #IWD2018, #MyFeminism is #donewaiting to eliminate the gender wage gap, build a strong child care system, and ensure women are safe at work and at home. #cdnpoli #metoo #canfem #cdnpoli  #canlab  #workplaceviolence @GlobalNursesU @CanadianLabour  _https://t.co/TBXHKmEqp1_ https://t.co/pwDL6WCSOU",http://www.donewaiting.ca/,donewaiting.ca,iwd2018 myfeminism donewaiting cdnpoli metoo canfem cdnpoli canlab workplaceviolence,https://pbs.twimg.com/ext_tw_video_thumb/971808871923597312/pu/img/KBUrxXobRtv7wWtH.jpg,https://pbs.twimg.com/ext_tw_video_thumb/971808871923597312/pu/img/KBUrxXobRtv7wWtH.jpg,3/8/18 18:05,https://twitter.com/#!/cfnupresident/status/971809112756436992,,,971809112756436992,,FALSE,18,,FALSE,en,,,FALSE,20,,Twitter Web Client,FALSE,971809112756436992,Retweet,0,0,,,,,,,,
