id,tokens,tweet
37,"['#AltonSterling', 'Stephon', 'Clark', 'Tamir', 'Rice', 'Trayvon', 'Martin', 'Philando', 'Castille', 'Eric', 'Garner', 'Michael', 'Brown', 'Terence', 'Crutcher']",#AltonSterling Stephon Clark Tamir Rice Trayvon Martin Philando Castille Eric Garner Michael Brown Terence Crutcher
38,"['#AltonSterling', 'family', 'look', 'happy', 'beautiful', 'Looking', 'photo', 'todays', 'news', 'heartbreaking', 'http']",#AltonSterling and his family look so happy and beautiful here. Looking at this photo after todays news is heartbreaking. http
39,"['There', 'FOUR', 'attorney', 'generals', 'color', 'America', 'IN', 'CA', 'NM', 'DC', 'But', '31', 'AG', 'seats', 'play', '2018', 'via', 'elec']","There are only FOUR attorney generals of color in America (IN, CA, NM, DC). But 31 AG seats are in play in 2018 via elec"
40,"['#AltonSterling', 'Stephon', 'Clark', 'Tamir', 'Rice', 'Trayvon', 'Martin', 'Philando', 'Castille', 'Eric', 'Garner', 'Michael', 'Brown', 'Terence', 'Crutcher']",#AltonSterling Stephon Clark Tamir Rice Trayvon Martin Philando Castille Eric Garner Michael Brown Terence Crutcher
41,"['Baton', 'Rouge', 'Metro', 'Council', 'voted', 'many', 'reforms', 'since', '#AltonSterlings', 'death', 'The', 'council', 'districts', 'designed', 'k']",Baton Rouge Metro Council has voted against many reforms since #AltonSterlings death. The council districts are designed to k
42,"['#AltonSterling', 'Stephon', 'Clark', 'Tamir', 'Rice', 'Trayvon', 'Martin', 'Philando', 'Castille', 'Eric', 'Garner', 'Michael', 'Brown', 'Terence', 'Crutcher']",#AltonSterling Stephon Clark Tamir Rice Trayvon Martin Philando Castille Eric Garner Michael Brown Terence Crutcher
43,"['#AltonSterling', 'Stephon', 'Clark', 'Tamir', 'Rice', 'Trayvon', 'Martin', 'Philando', 'Castille', 'Eric', 'Garner', 'Michael', 'Brown', 'Terence', 'Crutcher']",#AltonSterling Stephon Clark Tamir Rice Trayvon Martin Philando Castille Eric Garner Michael Brown Terence Crutcher
44,"['Lol', 'Remember', ""y'all"", 'like', 'cameras', 'stop', 'cops', 'killing', 'many', 'Black', 'folks', '. .', '#AltonSterling', '#NoChargesFiled']","Lol. Remember when y'all were like, cameras will stop cops killing so many Black folks. . #AltonSterling #NoChargesFiled"
45,"['#AltonSterling', 'Stephon', 'Clark', 'Tamir', 'Rice', 'Trayvon', 'Martin', 'Philando', 'Castille', 'Eric', 'Garner', 'Michael', 'Brown', 'Terence', 'Crutcher']",#AltonSterling Stephon Clark Tamir Rice Trayvon Martin Philando Castille Eric Garner Michael Brown Terence Crutcher
46,"['#AltonSterling', 'Stephon', 'Clark', 'Tamir', 'Rice', 'Trayvon', 'Martin', 'Philando', 'Castille', 'Eric', 'Garner', 'Michael', 'Brown', 'Terence', 'Crutcher']",#AltonSterling Stephon Clark Tamir Rice Trayvon Martin Philando Castille Eric Garner Michael Brown Terence Crutcher
47,"['When', 'talk', 'ending', 'gun', 'violence', 'must', 'also', 'talk', 'ending', 'police', 'violence', 'taken', '#AltonSterling', '#St']","When we talk about ending gun violence we must also talk about ending the police violence which has taken #AltonSterling, #St"
