id,tweet,date,screenName,retweetCount,isRetweet,retweeted,favoriteCount,originaltweet
1379,Remember their names. #StephonClark #TerenceCrutcher #PhilandoCastile #SamDubose #KeithLamontScott #AltonSterling #SandraBla,2018-03-25 20:48:02,sleepiestgrl_,3550,True,False,0,"RT @mrmedina: Remember their names.

#StephonClark
#TerenceCrutcher
#PhilandoCastile
#SamDubose
#KeithLamontScott
#AltonSterling
#SandraBlaâ¦"
1380,Remember their names. #StephonClark #TerenceCrutcher #PhilandoCastile #SamDubose #KeithLamontScott #AltonSterling #SandraBla,2018-03-25 20:37:49,twin_is_winning,3550,True,False,0,"RT @mrmedina: Remember their names.

#StephonClark
#TerenceCrutcher
#PhilandoCastile
#SamDubose
#KeithLamontScott
#AltonSterling
#SandraBlaâ¦"
1381,Remember their names. #StephonClark #TerenceCrutcher #PhilandoCastile #SamDubose #KeithLamontScott #AltonSterling #SandraBla,2018-03-25 20:34:44,blemma666,3550,True,False,0,"RT @mrmedina: Remember their names.

#StephonClark
#TerenceCrutcher
#PhilandoCastile
#SamDubose
#KeithLamontScott
#AltonSterling
#SandraBlaâ¦"
1382,Remember their names. #StephonClark #TerenceCrutcher #PhilandoCastile #SamDubose #KeithLamontScott #AltonSterling #SandraBla,2018-03-25 20:12:59,rain4sibes,3550,True,False,0,"RT @mrmedina: Remember their names.

#StephonClark
#TerenceCrutcher
#PhilandoCastile
#SamDubose
#KeithLamontScott
#AltonSterling
#SandraBlaâ¦"
1383,Remember their names. #StephonClark #TerenceCrutcher #PhilandoCastile #SamDubose #KeithLamontScott #AltonSterling #SandraBla,2018-03-25 20:09:16,jesskline_,3550,True,False,0,"RT @mrmedina: Remember their names.

#StephonClark
#TerenceCrutcher
#PhilandoCastile
#SamDubose
#KeithLamontScott
#AltonSterling
#SandraBlaâ¦"
1384,Remember their names. #StephonClark #TerenceCrutcher #PhilandoCastile #SamDubose #KeithLamontScott #AltonSterling #SandraBla,2018-03-25 20:08:30,mikestahlme,3550,True,False,0,"RT @mrmedina: Remember their names.

#StephonClark
#TerenceCrutcher
#PhilandoCastile
#SamDubose
#KeithLamontScott
#AltonSterling
#SandraBlaâ¦"
1385,Remember their names. #StephonClark #TerenceCrutcher #PhilandoCastile #SamDubose #KeithLamontScott #AltonSterling #SandraBla,2018-03-25 20:07:39,bwatk13,3550,True,False,0,"RT @mrmedina: Remember their names.

#StephonClark
#TerenceCrutcher
#PhilandoCastile
#SamDubose
#KeithLamontScott
#AltonSterling
#SandraBlaâ¦"
1386,Remember their names. #StephonClark #TerenceCrutcher #PhilandoCastile #SamDubose #KeithLamontScott #AltonSterling #SandraBla,2018-03-25 19:59:23,thegoatAZ,3550,True,False,0,"RT @mrmedina: Remember their names.

#StephonClark
#TerenceCrutcher
#PhilandoCastile
#SamDubose
#KeithLamontScott
#AltonSterling
#SandraBlaâ¦"
1387,Remember their names. #StephonClark #TerenceCrutcher #PhilandoCastile #SamDubose #KeithLamontScott #AltonSterling #SandraBla,2018-03-25 19:50:07,Samoneevette,3550,True,False,0,"RT @mrmedina: Remember their names.

#StephonClark
#TerenceCrutcher
#PhilandoCastile
#SamDubose
#KeithLamontScott
#AltonSterling
#SandraBlaâ¦"
1388,Remember their names. #StephonClark #TerenceCrutcher #PhilandoCastile #SamDubose #KeithLamontScott #AltonSterling #SandraBla,2018-03-25 19:43:10,KESedgwick,3550,True,False,0,"RT @mrmedina: Remember their names.

#StephonClark
#TerenceCrutcher
#PhilandoCastile
#SamDubose
#KeithLamontScott
#AltonSterling
#SandraBlaâ¦"
