"","topic","term","beta"
"262",4,"3",0.00155521254778161
"263",5,"3",0.00100719798738326
"264",6,"3",9.07866458711975e-05
"265",1,"shooting",0.000939347826564127
"266",2,"shooting",0.00190784653712607
"267",3,"shooting",0.000770450462628781
"268",4,"shooting",0.00261743256312311
"269",5,"shooting",0.000866408817031282
"270",6,"shooting",0.000426628887477618
"271",1,"strong",0.000518690224283104
"272",2,"strong",0.000548455842618598
"273",3,"strong",0.000334501156064405
"274",4,"strong",0.000301503518783927
"275",5,"strong",0.000239097123442431
"276",6,"strong",0.000223163174592322
"277",1,"la",3.67583979776235e-05
"278",2,"la",9.28171906717201e-05
"279",3,"la",8.81620306819902e-05
"280",4,"la",0.000160537574178883
"281",5,"la",1.66664486511278e-05
"282",6,"la",0.000120848521143934
"283",1,"students",0.0121364667786477
"284",2,"students",0.00954029717953061
"285",3,"students",0.00675094899996082
"286",4,"students",0.00378921197912806
"287",5,"students",0.0150312868930779
"288",6,"students",0.0147361718420587
"289",1,"health",0.000237394721926874
"290",2,"health",0.000147653689035044
"291",3,"health",0.000114226059215723
"292",4,"health",0.000155412058045036
"293",5,"health",0.000139168427751835
"294",6,"health",0.000159334974253543
"295",1,"mental",0.000136391694057542
"296",2,"mental",3.08164754688385e-05
"297",3,"mental",4.20535079651103e-05
"298",4,"mental",1.72401303115637e-05
"299",5,"mental",0.000135705412790392
"300",6,"mental",0.000193611943025829
"301",1,"canada",0.000249114704209388
"302",2,"canada",4.85371720766265e-05
"303",3,"canada",9.57787159139991e-05
"304",4,"canada",0.000310497366754078
"305",5,"canada",2.46184875638317e-05
"306",6,"canada",0.000223644325410876
"307",1,"pray",1.74555937685693e-05
"308",2,"pray",3.39841384652256e-05
"309",3,"pray",0.000101748767188204
"310",4,"pray",7.62600279667006e-05
"311",5,"pray",0.000105203745564963
"312",6,"pray",2.26245657074436e-05
"313",1,"proud",8.36233415616805e-05
"314",2,"proud",0.00111589141271907
"315",3,"proud",0.000876838591703384
"316",4,"proud",0.000973107957052145
"317",5,"proud",0.000825838269725733
"318",6,"proud",0.00126537607009428
"319",1,"suicide",0.000215320339402725
"320",2,"suicide",2.18610233806275e-05
"321",3,"suicide",0.000221902069908293
"322",4,"suicide",0.000142183033765268
"323",5,"suicide",2.51148027100021e-06
"324",6,"suicide",0.000189314448463446
"325",1,"wrong",0.00252386415001396
"326",2,"wrong",0.0070194001797712
"327",3,"wrong",0.00204830391389867
"328",4,"wrong",0.00253706414917762
"329",5,"wrong",0.00101957474515709
"330",6,"wrong",0.00140958105077504
"331",1,"famous",1.41511628734721e-05
"332",2,"famous",2.4292937540612e-05
"333",3,"famous",1.7838798813189e-05
"334",4,"famous",8.6342243931288e-06
"335",5,"famous",2.05141946811198e-05
"336",6,"famous",5.34828501501041e-05
"337",1,"ik",3.56715165773015e-05
"338",2,"ik",5.52674157404666e-06
"339",3,"ik",3.80218169260564e-07
"340",4,"ik",1.74955426673147e-06
"341",5,"ik",2.00996051550039e-06
"342",6,"ik",1.42572334952413e-05
"343",1,"change",0.0100440484333929
"344",2,"change",0.00557865213411155
"345",3,"change",0.0142720151819727
"346",4,"change",0.0025384902480662
"347",5,"change",0.00722692231160802
"348",6,"change",0.00393212343319616
"349",1,"gt",0.000143326812929257
"350",2,"gt",0.000436091716810077
"351",3,"gt",7.11252048870428e-05
"352",4,"gt",0.000265300849088111
"353",5,"gt",5.50861739909834e-05
"354",6,"gt",0.000201307062812944
"355",1,"lt",2.96315974278833e-05
"356",2,"lt",0.000149744178673766
"357",3,"lt",7.21522032841057e-05
"358",4,"lt",7.39501120777872e-05
"359",5,"lt",3.49283205761381e-05
"360",6,"lt",7.65326051727659e-05
"361",1,"fedex",9.39932451402699e-05
"362",2,"fedex",0.000149742508349639
"363",3,"fedex",1.17872080009223e-05
"364",4,"fedex",6.68143524631633e-05
"365",5,"fedex",5.13156362628023e-05
"366",6,"fedex",0.000142842036496374
"367",1,"human",0.000656961869642429
"368",2,"human",8.40782275981832e-05
"369",3,"human",0.000979077138121705
"370",4,"human",0.0014041448514744
"371",5,"human",0.000138752785021313
"372",6,"human",2.91397681836609e-05
