"id","tweet","date","screenName","retweetCount","isRetweet","retweeted","favoriteCount"
66,"RT @RanttMedia: #AltonSterling

Stephon Clark

Tamir Rice 

Trayvon Martin

Philando Castille

Eric Garner

Michael Brown

Terence Crutcher…",2018-03-28 23:20:24,"Mecca719",29552,TRUE,FALSE,0
67,"RT @RanttMedia: #AltonSterling

Stephon Clark

Tamir Rice 

Trayvon Martin

Philando Castille

Eric Garner

Michael Brown

Terence Crutcher…",2018-03-28 23:20:18,"beckysuebee",29552,TRUE,FALSE,0
68,"RT @mrmedina: Remember their names.

#StephonClark
#TerenceCrutcher
#PhilandoCastile
#SamDubose
#KeithLamontScott
#AltonSterling
#SandraBla…",2018-03-28 23:20:17,"wkstewart0615",3550,TRUE,FALSE,0
69,"RT @RanttMedia: #AltonSterling

Stephon Clark

Tamir Rice 

Trayvon Martin

Philando Castille

Eric Garner

Michael Brown

Terence Crutcher…",2018-03-28 23:20:15,"jillianmartins",29552,TRUE,FALSE,0
70,"RT @TaureanReign: after seeing how the colonizer and how they feel about  #AltonSterling as well as other black bodies, #DearWhiteMaleTeens…",2018-03-28 23:20:14,"PhenomDatDude",5,TRUE,FALSE,0
71,"RT @RanttMedia: #AltonSterling

Stephon Clark

Tamir Rice 

Trayvon Martin

Philando Castille

Eric Garner

Michael Brown

Terence Crutcher…",2018-03-28 23:20:12,"neonblu67",29552,TRUE,FALSE,0
72,"RT @michelle_gajda: In Baton Rouge, Louisiana @MomsDemand observes a moment of silence for victims of gun violence, including #AltonSterlin…",2018-03-28 23:20:10,"mathers_georgia",77,TRUE,FALSE,0
73,"RT @RanttMedia: #AltonSterling

Stephon Clark

Tamir Rice 

Trayvon Martin

Philando Castille

Eric Garner

Michael Brown

Terence Crutcher…",2018-03-28 23:20:08,"Ja_Holmes",29552,TRUE,FALSE,0
74,"RT @HelenBrosnan: ""I'll kill you, bitch."" 

Words Alton Sterling heard just before he was murdered by a police officer. He was a victim of…",2018-03-28 23:20:07,"mmmmbrains",4728,TRUE,FALSE,0
75,"RT @RanttMedia: #AltonSterling

Stephon Clark

Tamir Rice 

Trayvon Martin

Philando Castille

Eric Garner

Michael Brown

Terence Crutcher…",2018-03-28 23:20:03,"keekadeek_",29552,TRUE,FALSE,0
76,"RT @RanttMedia: #AltonSterling

Stephon Clark

Tamir Rice 

Trayvon Martin

Philando Castille

Eric Garner

Michael Brown

Terence Crutcher…",2018-03-28 23:20:02,"emilylheath",29552,TRUE,FALSE,0
77,"RT @shannonrwatts: Thank you to all of the Louisiana @MomsDemand volunteers who met with legislators today in Baton Rouge to ask them to re…",2018-03-28 23:19:53,"JJBeez82",70,TRUE,FALSE,0
78,"RT @RanttMedia: #AltonSterling

Stephon Clark

Tamir Rice 

Trayvon Martin

Philando Castille

Eric Garner

Michael Brown

Terence Crutcher…",2018-03-28 23:19:50,"Danamerreille",29552,TRUE,FALSE,0
79,"RT @jleefilm: Lol. Remember when y'all were like, ""cameras will stop cops killing so many Black folks."" ������������������. #AltonSterling #NoChargesFiled",2018-03-28 23:19:50,"SlimSinclair",14,TRUE,FALSE,0
80,"RT @lynnv378: #StephonClark had a cell phone.
#TamirRice had a toy gun
#WalterScott was running away
#SandraBland had a broken tail light
#…",2018-03-28 23:19:48,"TGI_Nadine",1958,TRUE,FALSE,0
81,"RT @baconmanlives: A loaded revolver, resisted arrest and continued to struggle after tasing failed. But here we go with the poor choir boy…",2018-03-28 23:19:45,"ed_grimly",1,TRUE,FALSE,0
82,"RT @eugenegu: Once again I’m taking a knee to protest the cold-blooded murders of Stephon Clark, Philando Castile, Eric Garner, Michael Bro…",2018-03-28 23:19:44,"Taylor49er",2185,TRUE,FALSE,0
83,"RT @Blavity: No lies detected, smh ������. Colin Kaepernick calls #AltonSterling ruling 'state sanctioned lynching' https://t.co/xMeS3atO1T http…",2018-03-28 23:19:41,"TawonMuhammad7",131,TRUE,FALSE,0
84,"RT @voiceblm: 1950+people have been killed by police since the death of #AltonSterling. 

Now do you understand why @Kaepernick7 takes a kn…",2018-03-28 23:19:41,"VelekeRick",108,TRUE,FALSE,0
85,"RT @samswey: DOJ had to show intent to be able to charge Officer Salamoni for killing #AltonSterling. They decided Salamoni saying he was g…",2018-03-28 23:19:40,"ScarlettWalker2",1798,TRUE,FALSE,0
86,"RT @JLA9178: One thing I'll never understand is how America can rally &amp; protest in every city to stop innocent people from being gunned dow…",2018-03-28 23:19:38,"mashhype",108,TRUE,FALSE,0
87,"RT @zellieimani: I die a little bit each time it’s announced an officer won’t be charged for the death of a Black person. #AltonSterling",2018-03-28 23:19:35,"AKnapt24",1201,TRUE,FALSE,0
88,"RT @ZerlinaMaxwell: Now do ya'll understand why @Kaepernick7 takes a knee?

#AltonSterling",2018-03-28 23:19:35,"fr33dmfyter1",4018,TRUE,FALSE,0
89,"RT @AprilDRyan: I asked @PressSec for @POTUS @realDonaldTrump comment and leadership on deaths of #AltonSterling #EricGarner #StephonClark…",2018-03-28 23:19:33,"Mbathg8",709,TRUE,FALSE,0
90,"RT @RanttMedia: #AltonSterling

Stephon Clark

Tamir Rice 

Trayvon Martin

Philando Castille

Eric Garner

Michael Brown

Terence Crutcher…",2018-03-28 23:19:32,"mira_onthe_wall",29552,TRUE,FALSE,0
91,"RT @RanttMedia: #AltonSterling

Stephon Clark

Tamir Rice 

Trayvon Martin

Philando Castille

Eric Garner

Michael Brown

Terence Crutcher…",2018-03-28 23:19:32,"TheSaltyHeifer",29552,TRUE,FALSE,0
92,"RT @lynnv378: #StephonClark had a cell phone.
#TamirRice had a toy gun
#WalterScott was running away
#SandraBland had a broken tail light
#…",2018-03-28 23:19:31,"sevenssevans",1958,TRUE,FALSE,0
93,"RT @RanttMedia: #AltonSterling

Stephon Clark

Tamir Rice 

Trayvon Martin

Philando Castille

Eric Garner

Michael Brown

Terence Crutcher…",2018-03-28 23:19:30,"AleSamour1",29552,TRUE,FALSE,0
94,"RT @AprilDRyan: I asked @PressSec for @POTUS @realDonaldTrump comment and leadership on deaths of #AltonSterling #EricGarner #StephonClark…",2018-03-28 23:19:30,"JoAnneF95945936",709,TRUE,FALSE,0
95,"RT @RanttMedia: #AltonSterling

Stephon Clark

Tamir Rice 

Trayvon Martin

Philando Castille

Eric Garner

Michael Brown

Terence Crutcher…",2018-03-28 23:19:29,"reedchannn",29552,TRUE,FALSE,0
96,"RT @RanttMedia: #AltonSterling

Stephon Clark

Tamir Rice 

Trayvon Martin

Philando Castille

Eric Garner

Michael Brown

Terence Crutcher…",2018-03-28 23:19:28,"triweasle",29552,TRUE,FALSE,0
97,"RT @RanttMedia: #AltonSterling

Stephon Clark

Tamir Rice 

Trayvon Martin

Philando Castille

Eric Garner

Michael Brown

Terence Crutcher…",2018-03-28 23:19:28,"rterrellhall",29552,TRUE,FALSE,0
98,"RT @RanttMedia: #AltonSterling

Stephon Clark

Tamir Rice 

Trayvon Martin

Philando Castille

Eric Garner

Michael Brown

Terence Crutcher…",2018-03-28 23:19:28,"larissaj25",29552,TRUE,FALSE,0
99,"RT @RanttMedia: #AltonSterling

Stephon Clark

Tamir Rice 

Trayvon Martin

Philando Castille

Eric Garner

Michael Brown

Terence Crutcher…",2018-03-28 23:19:25,"ThisIsSoTweet",29552,TRUE,FALSE,0
100,"RT @FGossGraves: Know it may seem like a lot to track-#AltonSterling; #census2020 attack; #PutPatientsFirst; #MeToo #Dreamers. If you march…",2018-03-28 23:18:57,"LogophilicMind",19,TRUE,FALSE,0
