"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @RepSwalwell: Nothing outrages me more than hearing the NRA attacking high schoolers. Then it occurred to me: the NRA is attacking these…",FALSE,0,NA,2018-03-27 12:32:15,FALSE,NA,"978610651156418561",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","zagamemnon",4840,TRUE,FALSE,NA,NA
"@SteveKingIA Petty sure I can’t point my vote at someone and end their life. Moron. #NeverAgain",FALSE,0,"SteveKingIA",2018-03-27 12:32:14,FALSE,"978424252260069376","978610648337743873","48117116","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","maisondechienvt",0,FALSE,FALSE,NA,NA
"RT @JimCarrey: Today our nation's youth are demanding their basic human right to go to school without dying in the name of greed. It's time…",FALSE,0,NA,2018-03-27 12:32:13,FALSE,NA,"978610644160303105",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MrMoonbeamMike",14970,TRUE,FALSE,NA,NA
"RT @IndivisibleTeam: This past weekend, you joined #MarchforOurLives. Today, check out our toolkit to find out how you can turn your anger…",FALSE,0,NA,2018-03-27 12:32:13,FALSE,NA,"978610641589202944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BlueWallDems",22,TRUE,FALSE,NA,NA
"RT @WhitfordBradley: I love you Wisconsin!!!! Retweet if you stand with these kids.  #NeverAgain  https://t.co/1M8Ev0RoC5",FALSE,0,NA,2018-03-27 12:32:09,FALSE,NA,"978610626422542337",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jules0117insc",236,TRUE,FALSE,NA,NA
"RT @peterdaou: ""Repeal the #SecondAmendment"" is trending. While I get the rationale, I don't support that approach. More importantly, we ne…",FALSE,0,NA,2018-03-27 12:32:09,FALSE,NA,"978610626070237184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jrbkjrbk",39,TRUE,FALSE,NA,NA
"RT @Goss30Goss: .@NRA @GOP @realDonaldTrump Deplorables,

2008 Heller vs. DC.

Read it, learn it, &amp; have a liberal explain it. 

#NeverAgai…",FALSE,0,NA,2018-03-27 12:32:09,FALSE,NA,"978610623796928512",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PattyQuain",167,TRUE,FALSE,NA,NA
"RT @SocialTerri: RT to show your support --  Inspired by the Selma marchers and the high school students from Parkland, students are marchi…",FALSE,0,NA,2018-03-27 12:32:08,FALSE,NA,"978610620357517313",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","working_trot",45,TRUE,FALSE,NA,NA
"RT @RepSwalwell: Nothing outrages me more than hearing the NRA attacking high schoolers. Then it occurred to me: the NRA is attacking these…",FALSE,0,NA,2018-03-27 12:32:07,FALSE,NA,"978610616934989824",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ajwood46",4840,TRUE,FALSE,NA,NA
"RT @Camila_Cabello: ... there’s no words to describe the outrage we feel today at what’s happening in our country, but we have a long way t…",FALSE,0,NA,2018-03-27 12:32:07,FALSE,NA,"978610616033214466",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","i_ilyttmab",8321,TRUE,FALSE,NA,NA
